Ratio,Avg_CPC,Std_CPC
0.9,0.5492339152155316,0.00010110292492074654
0.8,0.5492812268132004,0.00018936687708165137
0.7,0.5491997591681355,0.0002983419196967411
0.6,0.5492800118197627,0.0004388346920581683
0.5,0.5492104199811919,0.00037517319365647786
0.4,0.5490585002148025,0.00039106996909780566
0.3,0.5488302705169125,0.0005143347216314182
0.2,0.5484014168374013,0.0007167643725780675
0.1,0.5473618267644308,0.0010629577428877457
0.09,0.5480005377294178,0.0018113962602015453
0.08,0.5477450641809818,0.0014865976602530244
0.07,0.5473530034077292,0.0020711651670273393
0.06,0.5462873280096368,0.002034703193328645
0.05,0.544817708503531,0.0026885789491273167
0.04,0.5438063356166837,0.0042770161927810245
0.03,0.5451733137624393,0.0037245611427008446
0.02,0.5446333052905926,0.002115845224479578
0.01,0.5428004863296566,0.0050096039293125545
